action_ref,inspection_id,site_name,category,raised_date,due_date,closed_date,owner_id,action_description
AC-001,SI-2025-0002,Kingsway Depot,Storage,2025-01-01,2025-01-22,2025-01-10,10,Remove untagged stepladder from the dock office
AC-002,SI-2025-0002,Kingsway Depot,Fire safety,2025-01-03,2025-01-31,2025-01-25,3,Clear access to fire alarm call point at level 2
AC-003,SI-2025-0003,Basildon Marsh Hub,Fire safety,2025-01-04,2025-01-25,2025-02-01,4,Arrange service or replacement of extinguisher at the main workshop
AC-004,SI-2025-0007,Exeter Matford Depot,Fire safety,2025-01-05,2025-01-19,2025-01-23,10,Clear access to fire alarm call point at loading bay 6
AC-005,SI-2025-0010,Rugby Junction Depot,PPE & welfare,2025-01-06,2025-01-20,2025-01-29,9,Rebrief PPE requirements for store B
AC-006,SI-2025-0009,Ely Sidings,Fire safety,2025-01-08,2025-01-22,2025-01-18,9,Clear access to fire alarm call point at the welfare cabin
AC-007,SI-2025-0011,Skelton Grange Hub,PPE & welfare,2025-01-09,2025-02-06,2025-02-09,10,Repair hot water supply in welfare room at the mezzanine
AC-008,SI-2025-0012,Medway City Depot,Housekeeping,2025-01-10,2025-01-31,2025-02-04,2,Restock spill kit at level 2
AC-009,SI-2025-0013,Exeter Matford Depot,Fire safety,2025-01-14,2025-01-28,2025-01-21,9,Service emergency lighting at the yard gate
AC-010,SI-2025-0016,Preston Brook Depot,PPE & welfare,2025-01-14,2025-01-28,2025-01-23,7,Replace eye-wash bottle at the mezzanine
AC-011,SI-2025-0016,Preston Brook Depot,Signage,2025-01-15,2025-01-29,2025-01-23,3,Re-mark pedestrian walkway at level 2
AC-012,SI-2025-0015,Luton Percival Hub,Housekeeping,2025-01-16,2025-01-30,2025-01-22,6,Clear and clean work area at the main workshop
AC-013,SI-2025-0017,Swansea Fabian Way Depot,Signage,2025-01-16,2025-02-06,2025-01-24,7,Install hazard signage at the dock office crossing
AC-014,SI-2025-0019,Plymouth Cattedown Yard,Signage,2025-01-16,2025-02-06,2025-01-30,6,Display current statutory notices at the main workshop
AC-015,SI-2025-0021,Avonmouth 3,PPE & welfare,2025-01-16,2025-02-06,2025-02-09,9,Rebrief PPE requirements for the dock office
AC-016,SI-2025-0019,Plymouth Cattedown Yard,PPE & welfare,2025-01-17,2025-01-31,2025-01-23,3,Rebrief PPE requirements for the north stairwell
AC-017,SI-2025-0023,Northampton Crossfield Hub,Storage,2025-01-17,2025-01-31,2025-02-03,9,Update COSHH register at the east exit
AC-018,SI-2025-0025,Newport Docks Depot,Storage,2025-01-17,2025-01-31,2025-01-29,9,Redistribute load and check beam at the welfare cabin
AC-019,SI-2025-0024,Medway City Depot,PPE & welfare,2025-01-19,2025-02-16,2025-01-31,1,Replace eye-wash bottle at aisle 4
AC-020,SI-2025-0027,Leicester Brook Depot,Fire safety,2025-01-20,2025-02-10,2025-02-01,1,Service emergency lighting at the dock office
