rule_id,rule_name,feed_code,quality_dimension,unit,is_load_check,tolerance_label,warn_above_pct,fail_above_pct,warn_late_mins,fail_late_mins,active_from
R-001,row count vs source,POS,Completeness,rows,true,0,0,0.5,,,
R-002,file arrival by 05:00,POS,Timeliness,files,true,05:00,,,0,60,
R-003,basket total equals line sum,POS,Consistency,rows,false,0,0,0.5,,,
R-004,sales amount vs source,POS,Consistency,pounds,true,+/-0.05%,0,0.05,,,
R-005,transaction line id unique,POS,Uniqueness,rows,false,0,0,0.05,,,
R-006,store code valid,POS,Validity,rows,false,0,0,0.5,,,
R-007,order line id unique,ECOM,Uniqueness,rows,false,0,0,0.05,,,
R-008,customer id present,ECOM,Completeness,rows,false,<=0.5%,0,0.5,,,
R-009,row count vs source,ECOM,Completeness,rows,true,0,0,0.5,,,
R-010,row count vs source,GL,Completeness,rows,true,0,0,0.5,,,
R-011,debits equal credits,GL,Consistency,rows,false,0,0,0.5,,,
R-012,file arrival by 05:00,GL,Timeliness,files,true,05:00,,,0,60,
R-013,row count vs source,LOY,Completeness,rows,true,0,0,0.5,,,
R-014,email format valid,LOY,Validity,rows,false,<=1%,0.25,1,,,
R-015,member id unique,LOY,Uniqueness,rows,false,0,0,0.05,,,
R-016,order amount vs source,ECOM,Consistency,pounds,true,+/-0.05%,0,0.05,,,
R-017,file lands by 05:00,EDI,Timeliness,files,true,05:00,,,0,60,
R-018,invoice number unique,EDI,Uniqueness,rows,false,0,0,0.05,,,
R-019,invoice count vs manifest,EDI,Completeness,rows,true,0,0,0.5,,,
R-020,supplier code valid,EDI,Validity,rows,false,0,0,0.5,,,
R-021,barcode unique,PRD,Uniqueness,rows,false,0,0,0.05,,,2026-05-15
R-022,invoice amount vs manifest,EDI,Consistency,pounds,true,+/-0.05%,0,0.05,,,
R-023,file arrival by 05:00,ECOM,Timeliness,files,true,05:00,,,0,60,
R-024,journal line id unique,GL,Uniqueness,rows,false,0,0,0.05,,,
R-025,account code valid,GL,Validity,rows,false,0,0,0.5,,,
R-026,journal amount vs source,GL,Consistency,pounds,true,+/-0.05%,0,0.05,,,
R-027,row count vs source,LOG,Completeness,rows,true,0,0,0.5,,,
R-028,file arrival by 05:00,LOG,Timeliness,files,true,05:00,,,0,60,
R-029,shipment id unique,LOG,Uniqueness,rows,false,0,0,0.05,,,
R-030,depot code valid,LOG,Validity,rows,false,0,0,0.5,,,
R-031,status transitions consistent,LOG,Consistency,rows,false,0,0,0.5,,,
R-032,file arrival by 05:00,LOY,Timeliness,files,true,05:00,,,0,60,
R-033,mandatory member fields present,LOY,Completeness,rows,false,<=0.5%,0,0.5,,,
R-034,join date not in future,LOY,Consistency,rows,false,0,0,0.5,,,
R-035,row count vs source,PRD,Completeness,rows,true,0,0,0.5,,,
R-036,file arrival by 05:00,PRD,Timeliness,files,true,05:00,,,0,60,
R-037,product key unique,PRD,Uniqueness,rows,false,0,0,0.05,,,
R-038,category reference valid,PRD,Validity,rows,false,0,0,0.5,,,
R-039,unit price non-negative,PRD,Consistency,rows,false,0,0,0.5,,,
R-040,row count vs source,STO,Completeness,rows,true,0,0,0.5,,,
R-041,file arrival by 05:00,STO,Timeliness,files,true,05:00,,,0,60,
R-042,store id unique,STO,Uniqueness,rows,false,0,0,0.05,,,
R-043,postcode format valid,STO,Validity,rows,false,0,0,0.5,,,
R-044,region reference valid,STO,Validity,rows,false,0,0,0.5,,,
R-045,currency code valid,ECOM,Validity,rows,false,0,0,0.5,,,
R-046,order status valid,ECOM,Validity,rows,false,0,0,0.5,,,
R-047,mandatory invoice fields present,EDI,Completeness,rows,false,<=0.5%,0,0.5,,,
R-048,basket id present,POS,Completeness,rows,false,<=0.5%,0,0.5,,,
